Name;ISIN;Symbol;Market;Currency;"Open Price";"High Price";"low Price";"last Price";"last Trade MIC Time";"Time Zone";Volume;Turnover;"Closing Price";"Closing Price DateTime"
IMALLIANCE;FR0010086371;MLIML;"Euronext Access Paris";EUR;0.33;0.33;0.33;0.33;"12/12/2023 16:30";CET;210;69.30;0.33;12/12/2023
IMERYS;FR0000120859;NK;"Euronext Paris";EUR;26.00;26.40;25.78;25.80;"12/12/2023 17:35";CET;82169;2133842.42;25.80;12/12/2023
IMM.PARIS.PERLE;FR0006859039;MLIPP;"Euronext Access Paris";EUR;45.00;45.00;45.00;45.00;"08/06/2021 11:30";CET;12;540.00;45.00;12/12/2023
IMMERSION;FR0013060100;ALIMR;"Euronext Growth Paris";EUR;2.10;2.10;1.92;1.92;"12/12/2023 16:30";CET;280;543.00;1.92;12/12/2023
IMMOB.DASSAULT;FR0000033243;IMDA;"Euronext Paris";EUR;49.60;49.90;49.60;49.80;"12/12/2023 17:35";CET;70;3480.90;49.80;12/12/2023
IMPLANET;FR0013470168;ALIMP;"Euronext Growth Paris";EUR;0.0445;0.1224;0.0445;0.099;"12/12/2023 17:35";CET;6309273;562278.55;0.099;12/12/2023
"IMPRIMERIE CHIRAT";FR0000065773;MLIMP;"Euronext Access Paris";EUR;6.20;6.20;6.20;6.20;"12/12/2023 11:30";CET;1;6.20;6.20;12/12/2023
"IMPULSE FITNESS";ES0105590006;MLIFS;"Euronext Access Paris";EUR;11.90;11.90;11.90;11.90;"05/12/2023 11:30";CET;501;5961.90;11.90;12/12/2023
"INDLE FIN.ENTREPR.";FR0000066219;INFE;"Euronext Paris";EUR;96.50;96.50;95.00;95.00;"12/12/2023 16:30";CET;18;1713.00;95.00;12/12/2023
INFOCLIP;FR0011158823;MLIFC;"Euronext Access Paris";EUR;2.00;2.00;2.00;2.00;"06/12/2023 11:30";CET;40;80.00;2.00;12/12/2023
INFOTEL;FR0000071797;INF;"Euronext Paris";EUR;49.50;49.60;49.30;49.30;"12/12/2023 17:28";CET;2297;113664.20;49.30;12/12/2023
INMARK;ES0105511002;MLINM;"Euronext Access Paris";EUR;17.90;17.90;17.90;17.90;"08/04/2021 00:00";CET;-;-;17.30;12/12/2023
INMOSUPA;ES0105473005;MLISP;"Euronext Access Paris";EUR;1.62;1.62;1.62;1.62;"06/04/2020 00:00";CET;-;-;1.62;12/12/2023
"INNATE PHARMA";FR0010331421;IPH;"Euronext Paris";EUR;2.39;2.415;2.265;2.29;"12/12/2023 17:35";CET;109429;256909.98;2.29;12/12/2023
"INNELEC MULTIMEDIA";FR0000064297;ALINN;"Euronext Growth Paris";EUR;7.30;7.32;7.14;7.20;"12/12/2023 17:35";CET;4135;29977.76;7.20;12/12/2023
"INNOVATIVE RFK SPA";IT0005391161;MLIRF;"Euronext Access Paris";EUR;1.58;1.58;1.58;1.58;"08/11/2023 11:30";CET;1;1.58;1.58;12/12/2023
INSTALLUX;FR0000060451;ALLUX;"Euronext Growth Paris";EUR;250.00;250.00;250.00;250.00;"12/12/2023 16:30";CET;6;1500.00;250.00;12/12/2023
INTEGRAGEN;FR0010908723;ALINT;"Euronext Growth Paris";EUR;0.90;0.90;0.90;0.90;"12/12/2023 11:21";CET;101;90.90;0.90;12/12/2023
"INTEGRITAS VIAGER";FR0014003FN0;MLVIE;"Euronext Access Paris";EUR;115.00;115.00;115.00;115.00;"14/08/2023 11:30";CET;2;230.00;115.00;12/12/2023
INTERPARFUMS;FR0004024222;ITP;"Euronext Paris";EUR;50.70;50.70;49.10;49.75;"12/12/2023 17:35";CET;33666;1673099.60;49.75;12/12/2023
INTEXA;FR0000064958;ITXT;"Euronext Paris";EUR;2.40;2.40;2.40;2.40;"06/12/2023 14:56";CET;265;636.00;2.40;12/12/2023
INTRASENSE;FR0011179886;ALINS;"Euronext Growth Paris";EUR;0.379;0.379;0.36;0.371;"12/12/2023 13:56";CET;11085;4021.20;0.371;12/12/2023
INVENTIVA;FR0013233012;IVA;"Euronext Paris";EUR;4.16;4.16;3.87;3.96;"12/12/2023 17:35";CET;67156;267135.56;3.96;12/12/2023
"INVIBES ADVERTSING";BE0974299316;ALINV;"Euronext Growth Paris";EUR;4.75;4.86;4.67;4.67;"12/12/2023 13:31";CET;840;4002.17;4.67;12/12/2023
"IOC HOLDING";BE6200101556;MLIOC;"Euronext Access Paris";EUR;0.07;0.07;0.07;0.07;"25/10/2023 11:30";CET;101;7.07;0.07;12/12/2023
"IPOSA PROPERTIES";ES0105417002;MLIPO;"Euronext Access Paris";EUR;18.74;18.74;18.74;18.74;"05/08/2019 00:00";CET;-;-;18.20;12/12/2023
IPSEN;FR0010259150;IPN;"Euronext Paris";EUR;101.60;102.80;100.80;101.50;"12/12/2023 17:35";CET;95439;9702264.30;101.50;12/12/2023
IPSOS;FR0000073298;IPS;"Euronext Paris";EUR;53.30;53.35;52.95;52.95;"12/12/2023 17:35";CET;30947;1641400.75;52.95;12/12/2023
ISPD;ES0109429037;ALISP;"Euronext Growth Paris";EUR;3.32;3.32;3.32;3.32;"12/12/2023 09:00";CET;1;3.32;3.32;12/12/2023
"IT LINK";FR0000072597;ALITL;"Euronext Growth Paris";EUR;25.50;25.60;25.30;25.60;"12/12/2023 17:23";CET;499;12655.10;25.60;12/12/2023
"ITALY INNOVAZIONI";IT0005336521;MLITN;"Euronext Access Paris";EUR;8.80;8.80;8.80;8.80;"25/10/2023 16:30";CET;7;61.60;8.80;12/12/2023
ITESOFT;FR0004026151;ITE;"Euronext Paris";EUR;3.74;3.74;3.74;3.74;"12/12/2023 14:31";CET;395;1477.30;3.74;12/12/2023
"JACQUES BOGART";FR0012872141;JBOG;"Euronext Paris";EUR;6.72;6.72;6.30;6.70;"12/12/2023 17:29";CET;369;2380.62;6.70;12/12/2023
"JACQUET METALS";FR0000033904;JCQ;"Euronext Paris";EUR;18.14;18.24;18.10;18.24;"12/12/2023 17:35";CET;23865;434085.42;18.24;12/12/2023
JCDECAUX;FR0000077919;DEC;"Euronext Paris";EUR;17.38;17.39;16.86;16.86;"12/12/2023 17:37";CET;98346;1672040.52;16.86;12/12/2023
"JSA TECHNOLOGY";FR0010680033;MLJSA;"Euronext Access Paris";EUR;0.55;0.55;0.55;0.55;"12/12/2023 16:30";CET;225;123.75;0.55;12/12/2023
JUNGLE21;ES0105636007;MLJ21;"Euronext Access Paris";EUR;3.40;3.40;3.40;3.40;"02/11/2023 12:59";CET;8900;30260.00;3.40;12/12/2023
KALRAY;FR0010722819;ALKAL;"Euronext Growth Paris";EUR;22.80;22.80;21.30;21.50;"12/12/2023 17:35";CET;28475;625495.30;21.50;12/12/2023
"KAUFMAN ET BROAD";FR0004007813;KOF;"Euronext Paris";EUR;29.10;29.25;28.65;28.90;"12/12/2023 17:35";CET;13129;379227.60;28.90;12/12/2023
KERING;FR0000121485;KER;"Euronext Paris";EUR;411.85;416.05;410.45;410.45;"12/12/2023 17:36";CET;207643;85497281.05;410.45;12/12/2023
KERLINK;FR0013156007;ALKLK;"Euronext Growth Paris";EUR;0.579;0.58;0.551;0.575;"12/12/2023 16:22";CET;23417;13165.89;0.575;12/12/2023
KEYRUS;FR0004029411;ALKEY;"Euronext Growth Paris";EUR;6.66;6.68;6.66;6.66;"12/12/2023 14:15";CET;210;1400.78;6.66;12/12/2023
"KKO INTERNATIONAL";FR0013374667;ALKKO;"Euronext Growth Paris";EUR;0.0842;0.0842;0.0832;0.0832;"12/12/2023 17:16";CET;44725;3736.75;0.0832;12/12/2023
KLARSEN;FR0011038348;ALKLA;"Euronext Growth Paris";EUR;2.57;2.57;2.41;2.41;"12/12/2023 17:35";CET;12179;30128.56;2.41;12/12/2023
KLEPIERRE;FR0000121964;LI;"Euronext Paris";EUR;23.63;23.74;23.36;23.47;"12/12/2023 17:35";CET;718125;16870895.82;23.47;12/12/2023
KOMPUESTOS;ES0105425005;ALKOM;"Euronext Growth Paris";EUR;0.925;0.925;0.925;0.925;"12/12/2023 09:00";CET;1;0.93;0.925;12/12/2023
"KUMULUS VAPE";FR0013419876;ALVAP;"Euronext Growth Paris";EUR;6.92;6.92;6.90;6.90;"12/12/2023 11:12";CET;121;835.60;6.90;12/12/2023
KUMULUSBSA2020;FR0014001KF0;VAPBS;"Euronext Growth Paris";EUR;-;-;-;-;-;CET;-;-;-;-
L'OREAL;FR0000120321;OR;"Euronext Paris";EUR;443.90;447.65;443.65;444.70;"12/12/2023 17:35";CET;277227;123344517.95;444.70;12/12/2023
